fiber_fraction,Ef_Em,width_to_thickness_ratio,length_value,theta,length_distribution_type,sim,random_seed,box_x,box_z,E1_Em,E2_Em,E3_Em,G12_Em,G13_Em,G23_Em,v12,v13,v23,L_band
0.15,32.0,2.0,50.0,0,constant,sim004_15,3,250,250,1.43854,1.42922,2.26597,0.52818,0.57496,0.57273,0.36361,0.19896,0.20027,short
0.15,40.0,2.0,50.0,0,constant,sim004_15,3,250,250,1.44977,1.44004,2.35312,0.5315,0.58136,0.57909,0.36573,0.19291,0.19431,short
0.15,48.0,2.0,50.0,0,constant,sim004_15,3,250,250,1.45763,1.44761,2.41815,0.53381,0.58594,0.58364,0.36724,0.18861,0.19007,short
0.2,4.0,2.0,50.0,0,constant,sim004_20,3,250,250,1.29015,1.2933,1.4457,0.48563,0.49738,0.49933,0.33098,0.27996,0.28005,short
0.2,12.0,2.0,50.0,0,constant,sim004_20,3,250,250,1.47677,1.48493,2.08434,0.55009,0.58432,0.58961,0.34855,0.22185,0.22209,short
0.2,20.0,2.0,50.0,0,constant,sim004_20,3,250,250,1.53614,1.54626,2.42209,0.56977,0.6153,0.62205,0.35559,0.19852,0.19874,short
0.2,28.0,2.0,50.0,0,constant,sim004_20,3,250,250,1.56603,1.5772,2.63438,0.57954,0.63193,0.6395,0.35935,0.18603,0.18621,short
0.2,32.0,2.0,50.0,0,constant,sim004_20,3,250,250,1.5761,1.58763,2.71379,0.5828,0.63773,0.64559,0.36064,0.18172,0.18188,short
0.2,40.0,2.0,50.0,0,constant,sim004_20,3,250,250,1.59089,1.60295,2.83864,0.58759,0.64646,0.65476,0.36256,0.17531,0.17545,short
0.2,48.0,2.0,50.0,0,constant,sim004_20,3,250,250,1.60127,1.6137,2.9325,0.59093,0.65274,0.66136,0.36392,0.17076,0.17088,short
0.25,4.0,2.0,50.0,0,constant,sim004_25,3,250,250,1.39088,1.39132,1.58171,0.52431,0.54002,0.53964,0.32798,0.27124,0.271,short
0.25,12.0,2.0,50.0,0,constant,sim004_25,3,250,250,1.66444,1.6654,2.45147,0.62052,0.66899,0.66794,0.34453,0.20767,0.20722,short
